SalesID,Product Name,Product Category,Sales Date,Sales Amount,Quantity Sold,Region,Customer ID,Customer Segment,SalesRep ID,Discount Applied,Cost Of Goods Sold,Sales Channel,Inventory Status,Return Status,Customer Feedback,Customer assessment of Sales Rep,Feedback Category
1,External Hard Drive,Electronics,2023-05-11,195.0,3.0,Europe,CUST1091,Wholesale,REP003,0.2,150,Marketplace,Low Stock,Returned,Excellent quality,Negative,Product Quality
2,Bluetooth Speaker,Electronics,2024-06-17,25.0,2.0,Europe,CUST1066,Retail,REP007,0.1,20,Marketplace,Low Stock,No Return,Returning this item,Positive,Experience with Purchase
3,Leather Boots,Fashion,2023-01-02,120.0,2.0,Latin America,CUST1041,Retail,REP007,0.15,80,Online Direct,In Stock,Pending Return,Not worth the money,Postive,Product Quality
4,Air Purifier,Home Appliances,2023-08-27,65.0,5.0,North America,CUST1077,Wholesale,REP003,0.05,50,Online Direct,In Stock,No Return,Very fast service,Neutral,Experience with Purchase
5,Treadmill,Sports & Outdoors,2024-08-06,390.0,2.0,Latin America,CUST1090,Subscription,REP001,0.08,300,Retail,Out of Stock,Pending Return,Returning this item,Positive,Experience with Purchase
6,Wireless Earbuds,Electronics,2023-07-22,32.0,4.0,North America,CUST1090,Retail,REP002,0.12,25,Marketplace,Out of Stock,Returned,Top notch,Negative,Product Quality
7,Organic Almonds,Groceries,2023-09-02,19.0,2.0,Latin America,CUST1051,Retail,REP005,0.07,15,Wholesale,Low Stock,Pending Return,Item as described,Neutral,Product Description Accuracy
8,Smartwatch,Wearables,2024-02-12,130.0,5.0,Middle East & Africa,CUST1060,Online Direct,REP006,0.1,100,Online Direct,In Stock,Pending Return,Great product,Neutral,Product Quality
9,4K Ultra HD TV,Electronics,2024-03-03,650.0,2.0,Asia Pacific,CUST1058,Wholesale,REP005,0.06,500,Retail,Out of Stock,Pending Return,Mislabelled,Positive,Product Description Accuracy
10,Skincare Set,Health & Beauty,2024-04-26,80.0,2.0,Asia Pacific,CUST1011,Subscription,REP007,0.14,60,Marketplace,Out of Stock,No Return,Top notch,Negative,Product Quality
11,Wall Art,Home Décor,2024-01-31,38.0,1.0,Latin America,CUST1049,Online Direct,REP005,0.09,30,Marketplace,Out of Stock,Pending Return,Good value for money,Positive,Product Quality
12,Designer Handbag,Fashion,2023-08-06,195.0,3.0,Europe,CUST1091,Wholesale,REP003,0.2,150,Marketplace,Low Stock,Returned,Excellent quality,Negative,Product Quality
13,Stroller,Baby Products,,260.0,1.0,Not Specified,,Retail,REP001,0.07,200,Not Specified,Not Specified,Not Specified,No Feedback,Positive,No Feedback
14,Fitness Tracker,Electronics,2023-01-30,100.0,3.0,Not Specified,CUST1064,Online Direct,REP003,0.1,80,Online Direct,In Stock,Pending Return,Very fast service,Postive,Experience with Purchase
